sezione;col1;col2;col3;col4;col5
09 - Rifiuti dell'industria fotografica;10.942;1.288;1.358;13.588;
10 - Rifiuti provenienti da processi termici;500.248;22.304;103.800;626.352;
11 - Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;234.312;33.101;86.751;354.164;
12 - Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;428.572;20.157;25.389;474.118;
13 - Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);669.979;98.639;174.973;943.591;
14 - Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);35.491;5.951;2.726;44.168;
15 - Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;127.017;34.486;23.146;184.649;
16 - Rifiuti non specificati altrimenti nell'elenco;1.039.058;435.128;620.792;2.094.978;
17 - Rifiuti delle attivita' di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);562.894;88.445;111.547;762.886;
18 - Rifiuti prodotti dal settore sanitario e veterinario o da attivita' di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);77.443;37.402;45.970;160.815;
19 - Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonche' dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;1.629.694;481.230;416.291;2.527.215;
20 - Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attivita' commerciali e industriali nonche' dalle istituzioni) inclusi i rifiuti della raccolta differenziata;12.999;2.242;4.829;20.070;
Totale;6.528.767;1.352.249;1.788.460;9.669.476;
