

		Costi comunali per chilogrammo di rifiuto - Regione Italia - anno 2019 (ISPRA)
		(i dati sui costi sono espressi in (Eurocent/kg*anno));
		IstatComune;Comune o Aggregazione;Provincia;Numero di comuni;Pop.(abitanti);CRTkg;CTSkg;CACkg;CGINDkg;CRDkg;CTRkg;CGDkg;CSLkg;CCkg;CKkg;CTOTkg
02007027;Fenis;Aosta;Vedi aggregazione: CM4: Mont Emilius;
02007028;Fontainemore;Aosta;Vedi aggregazione: UNITE DES COMMUNES VALDOTAINES MONT-ROSE;
02007029;Gaby;Aosta;Vedi aggregazione: UNITE' DES COMMUNES VALDOTAINES WALSER;
02007030;Gignod - Dato aggregazione CM3: Grand Combin;Aosta;11  ;           5.709;              12,97;               9,08;;              22,05;              14,54;               4,05;              18,59;               1,52;               9,08;               8,33;              38,42;
02007031;Gressan;Aosta;Vedi aggregazione: CM4: Mont Emilius;
02007032;Gressoney-La-Trinite;Aosta;Vedi aggregazione: UNITE' DES COMMUNES VALDOTAINES WALSER;
02007033;Gressoney-Saint-Jean;Aosta;Vedi aggregazione: UNITE' DES COMMUNES VALDOTAINES WALSER;
02007034;Hone;Aosta;Vedi aggregazione: UNITE DES COMMUNES VALDOTAINES MONT-ROSE;
02007035;Introd;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007036;Issime - Dato aggregazione UNITE' DES COMMUNES VALDOTAINES WALSER;Aosta;4   ;           1.997;               9,83;              33,37;               7,10;              50,31;               9,96;;               9,96;               1,44;              10,50;               2,56;              34,55;
02007037;Issogne;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007038;Jovencan;Aosta;Vedi aggregazione: CM4: Mont Emilius;
02007039;La Magdeleine;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007040;La Salle - Dato aggregazione CM1: Valdigne - Mont Blanc;Aosta;5   ;           8.701;              10,41;              11,56;;              22,18;              17,76;;              18,39;               3,98;               9,48;               2,43;              36,31;
02007041;La Thuile;Aosta;Vedi aggregazione: CM1: Valdigne - Mont Blanc;
02007042;Lillianes;Aosta;Vedi aggregazione: UNITE DES COMMUNES VALDOTAINES MONT-ROSE;
02007043;Montjovet;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007044;Morgex;Aosta;Vedi aggregazione: CM1: Valdigne - Mont Blanc;
02007045;Nus;Aosta;Vedi aggregazione: CM4: Mont Emilius;
02007046;Ollomont;Aosta;Vedi aggregazione: CM3: Grand Combin;
02007047;Oyace;Aosta;Vedi aggregazione: CM3: Grand Combin;
02007048;Perloz;Aosta;Vedi aggregazione: UNITE DES COMMUNES VALDOTAINES MONT-ROSE;
02007049;Pollein;Aosta;Vedi aggregazione: CM4: Mont Emilius;
02007050;Pontboset;Aosta;Vedi aggregazione: UNITE DES COMMUNES VALDOTAINES MONT-ROSE;
02007051;Pontey;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007052;Pont-Saint-Martin - Dato aggregazione UNITE DES COMMUNES VALDOTAINES MONT-ROSE;Aosta;9   ;           9.251;              21,34;              12,38;;              33,72;              23,14;               5,24;              28,38;               1,13;               2,87;;              34,23;
02007053;Pre-Saint-Didier;Aosta;Vedi aggregazione: CM1: Valdigne - Mont Blanc;
02007054;Quart - Dato aggregazione CM4: Mont Emilius;Aosta;10  ;          22.513;               7,30;              10,84;;              18,95;               6,11;               1,00;               7,10;               1,43;               5,56;               2,26;              20,53;
02007055;Rhemes-Notre-Dame;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007056;Rhemes-Saint-Georges;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007057;Roisan;Aosta;Vedi aggregazione: CM3: Grand Combin;
02007058;Saint-Christophe;Aosta;Vedi aggregazione: CM4: Mont Emilius;
02007059;Saint-Denis;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007060;Saint-Marcel;Aosta;Vedi aggregazione: CM4: Mont Emilius;
02007061;Saint-Nicolas;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007062;Saint-Oyen;Aosta;Vedi aggregazione: CM3: Grand Combin;
02007063;Saint-Pierre;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007064;Saint-Rhemy-en-Bosses;Aosta;Vedi aggregazione: CM3: Grand Combin;
02007065;Saint-Vincent;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007066;Sarre;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007067;Torgnon;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007068;Valgrisenche;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007069;Valpelline;Aosta;Vedi aggregazione: CM3: Grand Combin;
02007070;Valsavarenche;Aosta;Vedi aggregazione: CM2: Grand Paradis;
02007071;Valtournenche;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007072;Verrayes;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007073;Verres;Aosta;Vedi aggregazione: SUB-ATO D "EVANCON-MONT CERVIN";
02007074;Villeneuve - Dato aggregazione CM2: Grand Paradis;Aosta;13  ;          15.539;               9,54;              13,27;;              23,37;              10,07;               2,73;              12,80;               2,27;               5,25;               1,43;              26,10;
09051004;Bibbiena;Arezzo;1   ;          11.849;               3,74;               6,65;               1,29;              11,69;               4,70;               2,64;               7,34;               2,07;               9,81;               6,66;              29,11;
09051005;Bucine;Arezzo;1   ;           9.877;               3,85;               7,72;               2,40;              13,97;               5,84;;               6,29;;               7,01;               7,03;              25,73;
09051006;Capolona;Arezzo;1   ;           5.363;               8,07;               9,84;               2,59;              20,50;              11,04;               2,67;              13,72;               1,50;              18,45;               7,31;              43,19;
09051007;Caprese Michelangelo;Arezzo;1   ;           1.401;              25,41;              16,31;;              42,64;               7,09;;               7,09;;               4,75;               3,69;              39,46;
09051008;Castel Focognano;Arezzo;1   ;           3.014;               6,48;               6,58;               1,43;              14,48;               6,13;               3,21;               9,34;               2,68;              12,21;               7,86;              36,29;
09051010;Castel San Niccolo;Arezzo;1   ;           2.612;               5,30;               6,94;               1,51;              13,76;               6,24;               2,66;               8,90;               2,03;              12,61;               8,31;              35,45;
09051040;Castelfranco Piandisco;Arezzo;1   ;           9.922;              10,41;               8,53;               1,88;              20,82;              10,45;;              10,78;;              13,76;               4,70;              33,25;
09051011;Castiglion Fibocchi;Arezzo;1   ;           2.114;               9,35;               9,76;               2,16;              21,27;              15,91;               2,04;              17,95;               2,94;              20,55;               7,20;              49,88;
09051013;Cavriglia;Arezzo;1   ;           9.501;               3,18;               7,46;               1,99;              12,63;               5,08;               2,04;               7,12;               1,52;               5,73;               6,80;              24,24;
09051014;Chitignano;Arezzo;1   ;             907;               1,84;               6,69;               1,45;               9,98;               9,22;               4,60;              13,82;               1,93;              10,22;               8,35;              31,23;
09051015;Chiusi della Verna;Arezzo;1   ;           1.936;               2,91;               6,82;               1,48;              11,21;               6,56;               3,01;               9,57;               1,68;               7,75;               7,82;              27,94;
09051042;Laterina Pergine Valdarno;Arezzo;1   ;           6.581;               3,35;               7,42;               1,62;              12,39;               9,16;               2,29;              11,45;               1,44;               8,94;               7,32;              29,70;
09051020;Loro Ciuffenna;Arezzo;1   ;           5.864;               4,26;               7,74;               2,02;              14,02;               6,21;               2,11;               8,32;               1,21;               9,99;               6,39;              28,98;
09051021;Lucignano;Arezzo;1   ;           3.455;               5,79;               7,60;              11,05;              24,44;              11,45;;              11,66;               2,10;              14,34;               5,10;              37,96;
09051022;Marciano della Chiana;Arezzo;1   ;           3.403;               5,86;               6,53;               1,59;              13,98;              11,01;;              11,01;               2,75;              14,56;               5,70;              35,26;
