	Dati di sintesi della produzione dei rifiuti speciali - 2019 (ISPRA);
	Area geografica;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t);
19 - Raffinerie petrolio, fabbricazione coke;          16.047;           9.963;          36.254;          62.264;
20 - Fabbricazione di prodotti chimici;         476.851;         534.970;         164.334;       1.176.155;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;         131.470;          41.730;          19.683;         192.883;
22 - Industria gomma e materie plastiche;         575.719;          88.428;          76.568;         740.715;
23 - Industria minerali non metalliferi;       2.048.458;         370.610;         162.472;       2.581.540;
24 - Industria metallurgica;       4.374.646;         643.099;       2.144.321;       7.162.066;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);       2.647.508;         330.040;         385.780;       3.363.328;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;          33.387;           9.447;          16.219;          59.053;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;         189.642;          30.274;          21.410;         241.326;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;         753.487;          91.555;          45.103;         890.145;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;         275.656;          40.447;         107.787;         423.890;
30 - Fabbricazione di altri mezzi di trasporto;          59.670;          24.362;          45.870;         129.902;
31 - Fabbricazione di mobili;         480.110;         151.474;          26.509;         658.093;
32 - Altre industrie manifatturiere;          52.723;          20.155;           4.792;          77.670;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;          73.425;          18.335;          23.870;         115.630;
35 - Fornitura di energia elettrica, gas, vapore e aria;         588.877;         330.857;         840.811;       1.760.545;
36 - Raccolta, trattamento e fornitura di acqua;         829.885;         114.356;         303.564;       1.247.805;
37 - Gestione delle reti fognarie;       1.949.712;       1.097.433;         602.782;       3.649.927;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;      17.089.478;       6.556.873;      11.032.179;      34.678.530;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;         442.547;         106.861;         107.178;         656.586;
41, 42, 43 - Costruzioni;      39.883.761;      12.697.133;      17.061.306;      69.642.200;
