	Dati di sintesi della produzione dei rifiuti speciali - 2020 (ISPRA);
	Area geografica;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t);
11 - Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;         106.898;          34.651;          12.900;         154.449;
12 - Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;       3.632.379;         353.875;         392.128;       4.378.382;
15 - Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;       2.729.698;         580.239;         557.819;       3.867.756;
16 - Rifiuti non specificati altrimenti nell'elenco;       2.265.955;         789.001;       2.388.479;       5.443.435;
17 - Rifiuti delle attivita' di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);      37.234.891;      11.244.068;      16.314.241;      64.793.200;
18 - Rifiuti prodotti dal settore sanitario e veterinario o da attivita' di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);          13.180;           7.215;           2.995;          23.390;
19 - Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonche' dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;      20.293.919;       7.342.901;      10.540.419;      38.177.239;
20 - Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attivita' commerciali e industriali nonche' dalle istituzioni) inclusi i rifiuti della raccolta differenziata;       1.597.897;         416.806;         419.795;       2.434.498;
	Totale;      76.839.363;      23.515.003;      36.781.154;     137.135.520

	Produzione dei rifiuti speciali pericolosi per Capitolo dell'Elenco Europeo dei Rifiuti - 2020 (ISPRA);
		Capitolo dell'Elenco;Nord (t);Centro (t);Sud (t);Italia (t)
				ND - Attivita' ISTAT non determinata;              13;              61;             200;             274;
01 - Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonche' dal trattamento fisico o chimico di minerali;             530;              56;             543;           1.129;
02 - Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;             219;              33;               8;             260;
03 - Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;          13.499;           1.442;           1.752;          16.693;
04 - Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;             219;             171;              43;             433;
05 - Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;          23.354;           5.197;          45.791;          74.342;
06 - Rifiuti dei processi chimici inorganici;          89.827;          11.964;          34.694;         136.485;
07 - Rifiuti dei processi chimici organici;         978.528;          63.703;          51.597;       1.093.828;
08 - Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;          63.439;           9.622;          10.741;          83.802;
09 - Rifiuti dell'industria fotografica;           7.288;           1.301;           1.178;           9.767;
10 - Rifiuti provenienti da processi termici;         428.053;          25.729;         102.159;         555.941;
11 - Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;         213.058;          36.452;          81.090;         330.600;
12 - Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;         391.175;          19.429;          21.297;         431.901;
13 - Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);         707.984;         118.002;         164.979;         990.965;
14 - Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);          37.580;           5.884;           2.855;          46.319;
15 - Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;         141.254;          33.614;          25.003;         199.871;
16 - Rifiuti non specificati altrimenti nell'elenco;       1.219.906;         379.737;         688.692;       2.288.335;
17 - Rifiuti delle attivita' di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);         726.645;          70.385;         113.492;         910.522;
18 - Rifiuti prodotti dal settore sanitario e veterinario o da attivita' di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);         103.370;          47.480;          57.967;         208.817;
19 - Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonche' dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;       1.665.908;         394.398;         388.195;       2.448.501;
20 - Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attivita' commerciali e industriali nonche' dalle istituzioni) inclusi i rifiuti della raccolta differenziata;          13.405;           2.396;           3.630;          19.431;
	Totale;       6.825.254;       1.227.056;       1.795.906;       9.848.216

